"","x"
"1","BH"
"2","DBI"
"3","DT"
"4","KernSmooth"
"5","MASS"
"6","Matrix"
"7","MatrixModels"
"8","NLP"
"9","R6"
"10","RColorBrewer"
"11","RCurl"
"12","RMTstat"
"13","RODBC"
"14","Rcpp"
"15","RcppEigen"
"16","SparseM"
"17","TTR"
"18","abind"
"19","askpass"
"20","assertthat"
"21","backports"
"22","base"
"23","base64enc"
"24","bit"
"25","bit64"
"26","bitops"
"27","boot"
"28","brew"
"29","broom"
"30","callr"
"31","car"
"32","carData"
"33","cellranger"
"34","class"
"35","cli"
"36","clipr"
"37","clisymbols"
"38","cluster"
"39","codetools"
"40","colorspace"
"41","commonmark"
"42","compiler"
"43","covr"
"44","crayon"
"45","crosstalk"
"46","curl"
"47","data.table"
"48","datasets"
"49","dbplyr"
"50","desc"
"51","devtools"
"52","dichromat"
"53","digest"
"54","dplyr"
"55","dslabs"
"56","ellipsis"
"57","evaluate"
"58","excelR"
"59","fImport"
"60","fansi"
"61","farver"
"62","fastmap"
"63","fbRads"
"64","forcats"
"65","foreign"
"66","formatR"
"67","fs"
"68","futile.logger"
"69","futile.matrix"
"70","futile.options"
"71","gargle"
"72","generics"
"73","ggplot2"
"74","ggrepel"
"75","gh"
"76","git2r"
"77","glue"
"78","googleAnalyticsR"
"79","googleAuthR"
"80","googledrive"
"81","googlesheets"
"82","googlesheets4"
"83","grDevices"
"84","graphics"
"85","grid"
"86","gridExtra"
"87","gtable"
"88","haven"
"89","highr"
"90","hms"
"91","htmltools"
"92","htmlwidgets"
"93","httpuv"
"94","httr"
"95","hunspell"
"96","ini"
"97","jpeg"
"98","jsonlite"
"99","knitr"
"100","labeling"
"101","lambda.r"
"102","lambda.tools"
"103","later"
"104","lattice"
"105","lazyeval"
"106","lifecycle"
"107","lme4"
"108","lubridate"
"109","magrittr"
"110","mapdata"
"111","maps"
"112","maptools"
"113","markdown"
"114","memoise"
"115","methods"
"116","mgcv"
"117","mime"
"118","minqa"
"119","modelr"
"120","munsell"
"121","nlme"
"122","nloptr"
"123","nnet"
"124","openssl"
"125","openxlsx"
"126","parallel"
"127","pbkrtest"
"128","pillar"
"129","pkgbuild"
"130","pkgconfig"
"131","pkgload"
"132","plogr"
"133","plyr"
"134","png"
"135","praise"
"136","prettyunits"
"137","processx"
"138","progress"
"139","promises"
"140","ps"
"141","purrr"
"142","quadprog"
"143","quantmod"
"144","quantreg"
"145","rJava"
"146","raster"
"147","rcmdcheck"
"148","readr"
"149","readxl"
"150","rematch"
"151","rematch2"
"152","remote"
"153","remotes"
"154","reprex"
"155","reshape2"
"156","rex"
"157","rio"
"158","rlang"
"159","rmarkdown"
"160","roxygen2"
"161","rpart"
"162","rprojroot"
"163","rstudioapi"
"164","rversions"
"165","rvest"
"166","scales"
"167","searchConsoleR"
"168","selectr"
"169","sessioninfo"
"170","shiny"
"171","slam"
"172","sourcetools"
"173","sp"
"174","spatial"
"175","spelling"
"176","splines"
"177","stats"
"178","stats4"
"179","stringi"
"180","stringr"
"181","survival"
"182","swirl"
"183","sys"
"184","tcltk"
"185","testthat"
"186","tibble"
"187","tidyr"
"188","tidyselect"
"189","tidyverse"
"190","timeDate"
"191","timeSeries"
"192","tinytex"
"193","tm"
"194","tools"
"195","tseries"
"196","usethis"
"197","utf8"
"198","utils"
"199","uuid"
"200","vctrs"
"201","viridisLite"
"202","webutils"
"203","whisker"
"204","withr"
"205","wordcloud"
"206","xfun"
"207","xlsx"
"208","xlsxjars"
"209","xml2"
"210","xopen"
"211","xtable"
"212","xts"
"213","yaml"
"214","zeallot"
"215","zip"
"216","zoo"
